,axis_size,decay_function,neighborhood_function,activation_distance,sigma_decay_function,random_seed,optimal_num_of_iteratios,optimal_q_error,optimal_t_error,optimal_d_error
43,4,asymptotic_decay,gaussian,chebyshev,asymptotic_decay,192,893,30.448360022364888,0.562358276643991,71245.9973582998
44,4,asymptotic_decay,mexican_hat,cosine,inverse_decay_to_one,193,0,32.590304710422515,0.4036281179138322,-54554.598412448875
45,4,asymptotic_decay,mexican_hat,cosine,asymptotic_decay,194,0,32.302111148764126,0.6394557823129252,-45027.79049264137
46,4,asymptotic_decay,mexican_hat,chebyshev,inverse_decay_to_one,195,0,32.34288683492365,0.8639455782312925,-56205.59953898225
47,4,asymptotic_decay,mexican_hat,chebyshev,asymptotic_decay,196,0,32.96101101529543,0.5895691609977324,-44470.90619674935
48,5,linear_decay_to_zero,gaussian,cosine,inverse_decay_to_one,197,226,31.45755239432547,0.06349206349206349,68849.45286957292
49,5,linear_decay_to_zero,gaussian,cosine,asymptotic_decay,198,999,29.22589636032135,0.41496598639455784,74295.27320046713
50,5,linear_decay_to_zero,gaussian,chebyshev,inverse_decay_to_one,199,0,29.745032463211203,0.5011337868480725,111451.1688372425
51,5,linear_decay_to_zero,gaussian,chebyshev,asymptotic_decay,200,984,29.024234442977225,0.564625850340136,78967.13242145683
52,5,linear_decay_to_zero,mexican_hat,cosine,inverse_decay_to_one,201,0,31.496771227342197,0.7755102040816326,-84186.64370526902
53,5,linear_decay_to_zero,mexican_hat,cosine,asymptotic_decay,202,0,31.50863108693752,0.8344671201814059,-67483.03094675763
54,5,linear_decay_to_zero,mexican_hat,chebyshev,inverse_decay_to_one,203,0,30.898814769937815,0.8208616780045351,-59539.624076612636
55,5,linear_decay_to_zero,mexican_hat,chebyshev,asymptotic_decay,204,0,30.55624334605885,0.8163265306122449,-69739.13769925508
56,5,asymptotic_decay,gaussian,cosine,inverse_decay_to_one,205,283,31.29516612899166,0.061224489795918366,70734.7690874167
57,5,asymptotic_decay,gaussian,cosine,asymptotic_decay,206,925,28.247137680806727,0.63718820861678,85534.99923829015
58,5,asymptotic_decay,gaussian,chebyshev,inverse_decay_to_one,207,0,29.78193187889653,0.8480725623582767,135098.36003925078
59,5,asymptotic_decay,gaussian,chebyshev,asymptotic_decay,208,991,28.951539866736987,0.4013605442176871,75946.0828595884
60,5,asymptotic_decay,mexican_hat,cosine,inverse_decay_to_one,209,0,31.627013997526348,0.8321995464852607,-72872.9448650431
61,5,asymptotic_decay,mexican_hat,cosine,asymptotic_decay,210,0,32.271517285804,0.8684807256235828,-64694.152673083976
62,5,asymptotic_decay,mexican_hat,chebyshev,inverse_decay_to_one,211,0,31.16757615295895,0.8072562358276644,-53326.44521414081
63,5,asymptotic_decay,mexican_hat,chebyshev,asymptotic_decay,212,0,30.307381485949207,0.9024943310657596,-77353.57161531824
64,6,linear_decay_to_zero,gaussian,cosine,inverse_decay_to_one,213,3,29.338209274257828,0.7392290249433107,96554.94833206532
65,6,linear_decay_to_zero,gaussian,cosine,asymptotic_decay,214,999,27.511672513264305,0.5918367346938775,83605.64411008178
66,6,linear_decay_to_zero,gaussian,chebyshev,inverse_decay_to_one,215,0,28.573383643618087,0.9229024943310657,135651.2090540916
67,6,linear_decay_to_zero,gaussian,chebyshev,asymptotic_decay,216,978,28.29174695111573,0.5079365079365079,80429.5261619368
68,6,linear_decay_to_zero,mexican_hat,cosine,inverse_decay_to_one,217,0,29.538410602652217,0.8321995464852607,-73662.84665605279
69,6,linear_decay_to_zero,mexican_hat,cosine,asymptotic_decay,218,0,29.161093176896717,0.8367346938775511,-96995.77544395778
70,6,linear_decay_to_zero,mexican_hat,chebyshev,inverse_decay_to_one,219,0,29.585428735793688,0.8390022675736961,-89586.06167256754
71,6,linear_decay_to_zero,mexican_hat,chebyshev,asymptotic_decay,220,0,29.961698762677443,0.8117913832199547,-50263.32558524786
72,6,asymptotic_decay,gaussian,cosine,inverse_decay_to_one,221,1,29.887204182955298,0.7369614512471655,94691.54591691743
73,6,asymptotic_decay,gaussian,cosine,asymptotic_decay,222,963,26.748241140465897,0.5827664399092971,87534.53406819589
74,6,asymptotic_decay,gaussian,chebyshev,inverse_decay_to_one,223,0,28.609082965639967,0.8979591836734694,111196.05320524608
75,6,asymptotic_decay,gaussian,chebyshev,asymptotic_decay,224,789,28.196080908676066,0.6485260770975056,87270.94551660953
76,6,asymptotic_decay,mexican_hat,cosine,inverse_decay_to_one,225,0,29.633177504217485,0.7528344671201814,-97896.8089397774
77,6,asymptotic_decay,mexican_hat,cosine,asymptotic_decay,226,0,29.50876101640336,0.764172335600907,-68954.31240027574
78,6,asymptotic_decay,mexican_hat,chebyshev,inverse_decay_to_one,227,0,29.413615069894874,0.8526077097505669,-78589.84116998494
79,6,asymptotic_decay,mexican_hat,chebyshev,asymptotic_decay,228,0,29.736885871697428,0.873015873015873,-69540.86278820418
80,2,linear_decay_to_zero,gaussian,euclidean,inverse_decay_to_one,229,949,33.88885311013227,0.0,39315.285360676535
81,2,linear_decay_to_zero,gaussian,euclidean,asymptotic_decay,230,998,33.05842297465532,0.0,49006.53749894675
82,2,linear_decay_to_zero,mexican_hat,euclidean,inverse_decay_to_one,231,85,34.126178449835756,0.0,-2581891531.9710937
83,2,linear_decay_to_zero,mexican_hat,euclidean,asymptotic_decay,232,0,34.595168156891326,0.0,-8565.099259676788
84,2,asymptotic_decay,gaussian,euclidean,inverse_decay_to_one,233,418,34.049417113879976,0.0,40103.593443888436
85,2,asymptotic_decay,gaussian,euclidean,asymptotic_decay,234,830,33.18218927678423,0.0,46532.80800742098
86,2,asymptotic_decay,mexican_hat,euclidean,inverse_decay_to_one,235,973,34.26452871701298,0.0,-1.0002067066252171e+44
87,2,asymptotic_decay,mexican_hat,euclidean,asymptotic_decay,236,3,34.43626093987346,0.0,2952.3842153550827
88,3,linear_decay_to_zero,gaussian,euclidean,inverse_decay_to_one,237,698,32.77853305577032,0.0045351473922902496,52840.98754282189
89,3,linear_decay_to_zero,gaussian,euclidean,asymptotic_decay,238,950,30.85043484812614,0.06349206349206349,70735.18566514252
90,3,linear_decay_to_zero,mexican_hat,euclidean,inverse_decay_to_one,239,5,34.128026793094726,0.07482993197278912,-116213.63797287019
91,3,linear_decay_to_zero,mexican_hat,euclidean,asymptotic_decay,240,689,34.57394713544384,0.0,-1.8566789237496056e+31
92,3,asymptotic_decay,gaussian,euclidean,inverse_decay_to_one,241,983,32.84250018469192,0.02947845804988662,52043.7977087481
93,3,asymptotic_decay,gaussian,euclidean,asymptotic_decay,242,984,30.79004785483143,0.09750566893424037,84526.77807904874
94,3,asymptotic_decay,mexican_hat,euclidean,inverse_decay_to_one,243,832,34.26564825397617,0.0,-3.491715271792762e+44
95,3,asymptotic_decay,mexican_hat,euclidean,asymptotic_decay,244,22,34.41803083082636,0.0,-563357.8534937716
96,4,linear_decay_to_zero,gaussian,euclidean,inverse_decay_to_one,245,795,32.02225197399366,0.061224489795918366,60666.63832128975
97,4,linear_decay_to_zero,gaussian,euclidean,asymptotic_decay,246,999,28.62874996584503,0.1360544217687075,85025.96116208681
98,4,linear_decay_to_zero,mexican_hat,euclidean,inverse_decay_to_one,247,627,33.73101986738694,0.0,-4.388746260862428e+38
99,4,linear_decay_to_zero,mexican_hat,euclidean,asymptotic_decay,248,0,32.765615326109724,0.8140589569160998,-49066.75475083841
100,4,asymptotic_decay,gaussian,euclidean,inverse_decay_to_one,249,865,31.990803225365617,0.04081632653061224,62999.478764461914
101,4,asymptotic_decay,gaussian,euclidean,asymptotic_decay,250,812,29.322814173680243,0.10204081632653061,96008.62915119066
102,4,asymptotic_decay,mexican_hat,euclidean,inverse_decay_to_one,251,0,33.2179810475604,0.24489795918367346,-81652.9365003956
103,4,asymptotic_decay,mexican_hat,euclidean,asymptotic_decay,252,0,33.66240421818837,0.6530612244897959,-61485.06403602167
104,5,linear_decay_to_zero,gaussian,euclidean,inverse_decay_to_one,253,0,30.092594886000388,0.5714285714285714,115264.82167434403
105,5,linear_decay_to_zero,gaussian,euclidean,asymptotic_decay,254,999,27.70222501660319,0.2471655328798186,85647.51102780139
106,5,linear_decay_to_zero,mexican_hat,euclidean,inverse_decay_to_one,255,0,31.007185519589324,0.5850340136054422,-59552.693546215894
107,5,linear_decay_to_zero,mexican_hat,euclidean,asymptotic_decay,256,0,31.109453214748488,0.8571428571428571,-75827.35286474612
108,5,asymptotic_decay,gaussian,euclidean,inverse_decay_to_one,257,2,30.108426811293466,0.3922902494331066,83926.68624419218
109,5,asymptotic_decay,gaussian,euclidean,asymptotic_decay,258,973,27.450419307786714,0.30158730158730157,93552.43488861517
110,5,asymptotic_decay,mexican_hat,euclidean,inverse_decay_to_one,259,0,29.607625500564772,0.9319727891156463,-121708.8352794179
111,5,asymptotic_decay,mexican_hat,euclidean,asymptotic_decay,260,0,30.72484300662463,0.8707482993197279,-85942.99327927292
112,6,linear_decay_to_zero,gaussian,euclidean,inverse_decay_to_one,261,0,29.41983275742879,0.8049886621315193,109238.33242635439
113,6,linear_decay_to_zero,gaussian,euclidean,asymptotic_decay,262,984,26.499258947072,0.272108843537415,93740.195841766
114,6,linear_decay_to_zero,mexican_hat,euclidean,inverse_decay_to_one,263,0,28.391660398127325,0.9115646258503401,-89854.16685751002
115,6,linear_decay_to_zero,mexican_hat,euclidean,asymptotic_decay,264,0,29.40516814405496,0.7755102040816326,-87145.82586671191
116,6,asymptotic_decay,gaussian,euclidean,inverse_decay_to_one,265,92,30.274849296299884,0.09297052154195011,76800.58357832483
117,6,asymptotic_decay,gaussian,euclidean,asymptotic_decay,266,997,25.780475539587854,0.2857142857142857,103305.41747423881
118,6,asymptotic_decay,mexican_hat,euclidean,inverse_decay_to_one,267,0,28.516330820869896,0.9183673469387755,-87233.55355823276
119,6,asymptotic_decay,mexican_hat,euclidean,asymptotic_decay,268,0,28.613586241425025,0.5850340136054422,-91276.22513890022
